Key,Value
cannotSaveNow,지금은 저장할 수 없습니다.
addEffect,효과 추가
buySpell,주문 구입
newSpell,신규 주문
exit,나가기
casterOnly,시전자에만
byTouch,접촉
singleTargetAtRange,원거리 단일 목표
areaAroundCaster,시전자 주변
areaAtRange,원거리 범위
fireBased,화염 기반
coldBased,냉기 기반
poisonBased,독기 기반
shockBased,전기 기반
magicBased,마법 기반
selectIcon,아이콘 선택
nextIcon,다음 아이콘
previousIcon,이전 아이콘
nameSpell,주문 이름
enterSpellName,주문 이름 입력 :
noEffectsError,주문에 적어도 하나의 효과가 있어야 합니다.
deleteSpell,이 주문을 삭제합니까?
sortSpells,주문 목록을 정렬합니까?
effectNotFoundError,<효과를 찾을 수 없음>
noItemToActivate,사용 가능한 마법 물품이 없습니다.
Akatosh,아카토쉬
Arkay,아케이
Dibella,디벨라
Julianos,줄리아노스
Kynareth,키나레스
Mara,마라
Stendarr,스텐다르
Zenithar,제니타르
removeKeybind,{0} ('{1}') 키 설정을 삭제하시겠습니까?
nord,노드
settingsNotApplied,비고: 일부 변경사항은 게임 재시작이 필요합니다.
doneButton,완료
temple,사원
unknownPowers,Unknown Powers
cannotBeRepaired,이 물품은 수리할 수 없습니다.
youNeverAwaken,You never awaken.
modSettings,모드 설정
gameEffectsSettings,효과 설정
antialiasing,안티앨리어싱
ambientOcclusion,Ambient Occlusion
bloom,블룸
motionBlur,모션 블러
vignette,비네트
depthOfField,시야 심도
antialiasingTip,부드러운 화면을 보여줍니다
enable,Enable
fxaa,FXAA
smaa,SMAA
taa,TAA
none,없음
method,Method
fxaaFastMode,FXAA 고속 모드
low,낮음
medium,중간
high,높음
smaaQuality,SMAA 품질
taaSharpness,TAA 선명도
disabled,Disabled
setPageDefaults,페이지 기본값으로 변경
ambientOcclusionTip,구멍이나 맞닿는 부분을 어둡게 합니다
scalableAmbientObscurance,Scalable Ambient Obscurance
multiScaleVolumetricObscurance,Multi Scale Volumetric Obscurance
scalableAmbient,Scalable Ambient
multiScaleVolumetric,MultiScale Volumetric
intensity,Intensity
lowest,Lowest
ultra,Ultra
radius,Radius
quality,Quality
thickness,Thickness
bloomTip,밝은 부분을 빛나게 합니다
threshold,Threshold
diffusion,Diffusion
bloomFastMode,Bloom fast mode
motionBlurTip,물체를 카메라 초점보다 빠른것처럼 보이게 합니다
shutterAngle,Shutter Angle
sampleCount,Sample Count
vignetteTip,화면의 주변부를 어둡게 합니다
smoothness,Smoothness
roundness,Roundness
rounded,Rounded
depthOfFieldTip,카메라 렌즈의 초점처럼 보이게 합니다
focusDistance,Focus Distance
aperture,Aperture
focalLength,Focal Length
maxBlurSize,Max Blur Size
small,Small
large,Large
veryLarge,Very Large
ditherTip,색상 대역 효과 같은 패턴이 대량 반복되는 곳에 노이즈를 넣습니다
dither,디더
colorBoost,색상부스트
colorBoostTip,색상을 부각시켜 보이게 합니다
dungeonScale,Dungeon Scale
interiorScale,Interior Scale
exteriorScale,Exterior Scale
dungeonFalloff,Dungeon Falloff
retroMode,레트로 모드
retroModeTip,더 낮은 해상도로 화면을 표현합니다
mode,Mode
retroModeOff,Off
retroMode320x200,320x200
retroMode640x400,640x400
off,Off
posterizationFull,Posterization (full)
posterizationMinusSky,Posterization (-sky)
palettizationFull,Palettization (full)
palettizationMinusSky,Palettization (-sky)
postProcess,Postprocess
retroModeAspectCorrection,Aspect Ratio Correction
FourThree,4:03
SixteenTen,16:10
notEnoughSpellpointsLeft,주문 점수가 충분하지 않습니다.
totalIdentified,{0} out of {1} identified.
dispelMagicSuccess,마법 디스펠을 성공했습니다...
dispelMagicFailed,마법 디스펠을 실패했습니다...
smallerDungeonsChanged,던전 내부에서 더 작은 던전 옵션 변경함. 플레이어를 던전 출구로 이동합니다.
youNote,You note: 
customName,Custom name: 
StoresA,"%ef's
%cn's Best
The Essential
Lord %ef's
The Adventurer's
The Odd
%ef's Finest
Bargain
Vintage
The Emperor's
%cn
%ef's General
The Superior
%ef's Quality
First Class
The %rt's
The Champion
Doctor %ef's
Lady %ef's"
GeneralStoresB,"Supplies
Supply Store
Gear
Gear Store
Equipment
Equipment Store
Sundries
Provisions
Merchandise
General Store
Retail Store
Trading Post
Market
Wares
Warehouse"
WeaponStoresB,"Weapons
Weaponry
Arms
Armaments
Arsenal
Armsmaker
Blades
Blacksmith
Metalsmith
Weaponsmith"
ArmorStoresB,"Armory
Mail
Shielding
Armor
Shields
Aegis
Metalworks
Blacksmith
Metalsmith
Armorer
Smith
Smithy"
BookStoresB,"Books
Bookstore
Bookshop
Book Dealer
Book Center
Bookseller
Bookstall
Incunabula"
LibraryStoresB,"Library
Bookroom
Athenaeum
Public Library
Historians
Bookroom
Seminary
Lyceum"
ClothingStoresB,"Clothing
Clothes
Garments
Apparel
Costumes
Vestments
Attire
Fashion
Tailoring
Outfits
Finery"
AlchemyStoresB,"Herbs
Potherbs
Spices
Remedies
Antidotes
Physics
Medicines
Potions
Tinctures
Medicaments
Elixirs
Pharmacy
Apothecary
Unguents
Medicinal Agents
Herb Garden
Pharmaceuticals
Chemistry
Chemicals
Experiental Products
Alchemistry
Alchemical Solutions
Metallurgy"
GemStoresB,"Gems
Gemstones
Jewelry
Jewels
Precious Stones
Bijoutry
Jewelers
Jewel Box
Jewelry Shop
Gemcutter"
PawnStoresB,"Pawnshop
Pawnbrokers
Used Supplies
Used Gear
Used Equipment
Used Merchandise
Hockshop
Antiquities"
FurnitureStoresB,"Furniture
Furnishings
Interior Design
Furniture Shop
Decor
Carpentry
Woodworking
Crafts
Woodwork"
LivestockStoresB,"Livestock
Breeders
Farm Animals
Beasts
Creatures
Game
Animalia
Fauna
Menagerie"
TavernsA,"The Queen's
The King's
The Dirty
The Black
The Mole and
The Green
The Red
The Gold
The White
The Silver
The Crimson
The Flying
The Dancing
The Laughing
The Restless
The Thirsty
The Unfortunate
The Lucky
The Devil's
The Rusty
The Howling
The Screaming
The Bat and
The Lion and
The Lynx and
The Dwarf and
The Beaver and
The Fox and
The Mouse and
The Pig and
The Feather and
The Toad and
The Rat and
The Savage
The Knave and
The Dead"
TavernsB,"Chasm
Mug
Pit
Cat
Dog
Goblin
Griffin
Dragon
Ogre
Giant
Djinn
Wolf
Huntsman
Dagger
Skull
Sword
Guard
Dungeon
Helm
Castle
Jug
Bird
Gnome
Hedgehog
Muskrat
Woodchuck
Scorpion
Badger
Goat
Porcupine
Priest
Fawn
Stag
Barbarian
Rascal
Fairy"
houseForSale,House for sale
theBankOf,The Bank of
daggerfall,Daggerfall
wayrest,Wayrest
sentinel,Sentinel
palace,Palace
regionNames,"Alik'r Desert
Dragontail Mountains
Glenpoint Foothills
Daggerfall Bluffs
Yeorth Burrowland
Dwynnen
Ravennian Forest
Devilrock
Malekna Forest
Isle of Balfiera
Bantha
Dak'fron
Islands in the Western Iliac Bay
Tamarilyn Point
Lainlyn Cliffs
Bjoulsae River
Wrothgarian Mountains
Daggerfall
Glenpoint
Betony
Sentinel
Anticlere
Lainlyn
Wayrest
Gen Tem High Rock village
Gen Rai Hammerfell village
Orsinium Area
Skeffington Wood
Hammerfell bay coast
Hammerfell sea coast
High Rock bay coast
High Rock sea coast
Northmoor
Menevia
Alcaire
Koegria
Bhoriane
Kambria
Phrygias
Urvaius
Ykalon
Daenia
Shalgora
Abibon-Gora
Kairou
Pothago
Myrkwasa
Ayasofya
Tigonus
Kozanset
Satakalaam
Totambu
Mournoth
Ephesus
Santaki
Antiphyllos
Bergama
Gavaudon
Tulune
Glenumbra Moors
Ilessan Hills
Cybiades"
ocean,Ocean
unknownUpper,Unknown
switchToRegion,Switch To: {0} Region
locationInRegionProvince,{0} in {1} province
dayNames,"Sundas
Morndas
Tirdas
Middas
Turdas
Fredas
Loredas"
monthNames,"Morning Star
Sun's Dawn
First Seed
Rain's Hand
Second Seed
Midyear
Sun's Height
Last Seed
Hearthfire
Frostfall
Sun's Dusk
Evening Star"
birthSignNames,"The Ritual
The Lover
The Lord
The Mage
The Shadow
The Steed
The Apprentice
The Warrior
The Lady
The Tower
The Atronach
The Thief"
seasonNames,"가을
봄
여름
겨울"
longDateTimeFormatString,"{0:00}:{1:00}:{2:00} on {3}, {4}{5} of {6:00}, 3E{7}"
dateTimeFormatString,"{0:00}:{1:00}:{2:00} on {3}{4} of {5:00}, 3E{6}"
dateFormatString,{0} the {1}{2} of {3:00}
ingredientFormatString,{0} {1}
longWeaponNameFormatString,{0} {1}
longArmorNameFormatString,{0} {1}
strRatings,"처참한
빈약한
약한
평균 미만
평균
꽤 좋은
운동선수
강한
강력한
초인"
intRatings,"식물인간
멍청이
반푼이
모자란
평균
약은
꽤 머리가 돌아가는
아주 똑똑한
수재
천재"
wilRatings,"멍한
순종적인
수동적인
산만한
유우부단한
안정적인
자신감 있는
의지력이 좋은
집중력이 강한
초월적인"
agiRatings,"돌덩이
몸을 가누지 못하는
덜렁이
움직임이 어색한
평균적인
활발한
민첩한
몸이 날랜
몸이 날렵한
서커스"
endRatings,"병약한
허약한
잔병이 많은
상태가 별로인
평균적인
평균 이상
꽤 건강한
튼튼한
괴물
불사신"
perRatings,"혐오스러운
인기가 없는
눈에 띄지 않는
기억에 남지 않는
별다를것 없는
흥미로운
매력적인
눈길이 가는
눈을 뗄 수 없는
카리스마 그 자체인"
spdRatings,"거의 움직이지 못하는
어기적 거리는
꽤 느린
느린
평균
평균 이상
빠른
발이 빠른
번개 같은
초월적인 속도"
lucRatings,"저주받은
가망이 없는
절망적인
불행한
평균
운이 좋은
운이 꽤 좋은
운에 강한
운에는 따라올 자가 없는
신이 편애하는"
